,velocity1,velocity2,velocity3,velocity4,avg_velocity,weight,dhweight,horsename,horsenum
0,0.46777370746201935,-0.06499126123385457,0.7009310113996451,0.6115275668399014,0.5641851259835295,0.9149927958927223,0.5372515248919741,ノーザンメジャー,1
1,-0.6566539127417247,-0.4590892199385679,-0.6587520200372788,-0.3982079393987972,-0.6757937962347034,-0.5198822703935931,-0.8848848645279574,タケマルゴールド,2
2,-0.005594383125129644,0.2671595519454117,-0.014923730556873783,-0.4451803343252206,-0.0899680075974219,1.7260091377067268,-0.7426712255859643,カフジエンパイア,3
3,-0.9183160907243038,0.001165244707314914,0.9411797482913876,-0.256706641936514,-0.16820593786497767,-1.2061268673131353,0.25282424700798783,ベネデッタ,4
4,1.5348662435834728,0.3340023242870799,-0.583832119894519,2.290935974080271,1.246708846331597,-0.39511052549913095,-0.8848848645279574,リコーモーゼル,5
5,-0.4294239526043224,-1.105282229150761,-0.6057062154397921,-0.3982079393987972,-0.721646909783465,1.0397645407871845,-0.31603030875998483,ドットスマイル,6
6,-0.6566539127417247,-0.8483811059761623,-1.1313075753374828,-0.3511383937072772,-0.884731252618425,-0.08318116326297541,0.6794651638339673,ボウゼノキョウ,7
7,-0.9553982538196804,-0.4590892199385679,-0.6057062154397921,-1.2744072939989268,-1.0608885943929658,-0.4886893341699776,-0.7426712255859643,ピアノチャン,8
8,1.619400554711351,2.3345059152980836,1.9581171170147633,0.22138500184530466,1.7903405261768544,-0.9877763137478265,2.101601553253899,ポロンチャン,9
0,2.0820024938132375,2.4816322529660324,1.9686458135382066,1.4463606578474892,2.354190092443596,0.9064925214675468,1.1669199319831565,トモノブラック,1
1,-0.1354417990416349,0.11430106762482543,-0.35754885814517895,0.5611123025075629,0.05127389857963353,-1.4944876705275771,0.2917299829957891,ベアスピード,2
2,0.5201504266719902,-0.8030852456495264,-1.2001642655351452,0.2330124419942474,-0.45550269774607277,0.6859943405700354,1.1669199319831565,アヅマアンビシャス,3
3,0.3007166651728042,-0.17059879452004148,0.022039393719472167,0.4515134814443774,0.1300628842030265,1.0289915108550531,-0.8751899489873673,ニッポンダンジ,4
4,-0.1354417990416349,-0.09959502452896593,0.5974152702301008,0.8913108828109297,0.32672232589774963,0.8819927235900455,0.2917299829957891,ウインドグラス,5
5,0.35771781168929734,0.11430106762482543,0.5010151058515306,-1.0587949586041445,0.0015878929635111468,-1.5434872662825796,-0.2917299829957891,アイファーロマンス,6
6,-1.2102925968001994,-0.31216668267561853,0.022039393719472167,-1.6926131426815365,-0.8326843330704206,0.09799919151000505,-1.4586499149789456,リュウノトップ,7
7,-0.6756175837903127,-0.942056933502795,-1.3852908912576152,-0.738893020995299,-1.0954865138979162,-0.0734993936325038,0.8751899489873673,ツバキ,8
8,-1.1037936186736514,-0.3827317073387276,-0.16815096212085404,-0.09300864432361444,-0.4801635493729817,-0.4899959575500253,-1.1669199319831565,ラダムドゥラメール,9
0,-2.20171913971689,-0.49531046415020297,-0.3711994122436751,-0.8746683634556017,-1.1308910794599527,1.1646332261620282,-0.15447585236359793,リュウノテラス,1
1,0.0734130384760064,-1.4252256312465559,-0.6839241974722096,0.11330390322779425,-0.6022958150874421,0.5012345530317585,0.5406654832725928,アサケスピカ,2
2,1.576031164767445,1.7176911990983297,1.644607649296998,0.32636571899113587,1.531746739998482,0.6339142876578124,-0.5020465201816933,スカーレットロマン,3
3,-0.45272460441911455,-0.14801160667124166,-0.3711994122436751,1.3635736718369205,0.34786713896618543,-0.7813362150200962,0.5406654832725928,ニンタイ,4
4,0.4982650789407542,0.34430995363784445,-0.13492213259107505,0.5952456462324217,0.4422935699347207,-0.7813362150200962,-0.15447585236359793,グラスドルチェ,5
5,0.3917208432212845,0.27353735137217844,0.4222565587882919,0.32636571899113587,0.4433101525165216,-0.6044299021853576,0.888236151090688,アンジェラ,6
6,0.17929551017896597,1.2052766532340553,1.3147877640933496,-0.01118876456163261,0.817844653677064,-0.11793754188982657,-1.1971878558178841,キンノイナズマ,7
7,0.0734130384760064,-0.8390399602984402,-0.21384738423311472,0.32636571899113587,-0.17693076185457893,1.4742192736228208,1.5833774867268786,ビービーアイガー,8
8,-0.1376949299245204,-0.6332274949758685,-1.60655943339489,-2.1653632502533036,-1.6729445986909248,-1.4889614663590507,-1.5447585236359793,キョウワイカズチ,9
0,1.0820426337775175,0.8433375432319103,1.9341385301129428,0.5542143924426697,1.2980060734769707,1.0125731773771125,2.743022168359881,カフジデューク,1
1,0.8255747120463544,-0.29005164535551714,0.8843189924434651,1.4690726714021425,1.181056268247564,1.5235045971545542,-0.3592052839518892,シゲルカンパチ,2
2,1.2133439434751019,-1.6465653998843504,-1.039428295235384,0.5542143924426697,-0.09081112443479071,-0.10218628395548783,0.29389523232427295,アデージョ,3
3,-0.08738524718824153,0.5896095900433336,0.42831413456567885,-0.45788400114741656,-0.013672413596708906,0.3622968249330956,-0.5224804130209297,レッドカイラス,4
4,-1.235134753429588,-1.156884487738145,-0.675983618511378,-1.036297637104807,-1.350940063743124,-0.8918075690660797,-0.5224804130209297,エイシンイザナミ,5
5,-0.6001364643772623,1.8690924309088817,0.8011427121570142,0.1329820274032391,0.6165862126785432,0.548090068488529,-0.3592052839518892,フェスティヴァーロ,6
6,-1.6130043718430804,0.034351250466603755,-1.039428295235384,-0.19187965185941208,-0.7638028840086272,0.3622968249330956,-0.19593015488284868,エイシンブラフマー,7
7,-0.08738524718824153,-0.4146637341077533,-0.4324038175148735,-1.6026484235114664,-1.136695411079616,-0.00928966217777114,-0.5224804130209297,メイショウコモレビ,8
8,0.9744319661160389,0.33695221893570015,0.05786531385259742,1.3268488648316614,1.0781062662476921,-1.8207737868432465,-0.032655025813808136,ハルカカナタ,9
9,-0.4723471713887046,-0.1651777665008937,-0.9185356566344995,-0.7486226348993065,-0.8178329237881813,-0.9847041908437963,-0.5224804130209297,サンアニストン,10
0,0.4025804721031356,0.39574660204537754,0.3029841235157115,-0.054699784585009244,0.3626423088436995,-0.7919255624955241,-0.42262872093350784,テイエムマホー,1
1,0.37710006901923254,0.8558705302819208,0.11571013155924878,0.26339841582819157,0.5329256062523307,-1.6342463880589448,1.2414718677421792,スタンシア,2
2,-2.181166067834695,,-2.0999204575957173,-2.3072265489879187,-2.2717631027641816,0.0827922178972589,0.766014556691983,クリーンチャンス,3
3,0.11848079065964172,-2.3339347813469864,-0.8633372519883694,0.13575088128804677,-0.806462032491603,0.01799830823853422,1.2414718677421792,ワンダーヴーハーン,4
4,-0.8157208645374318,0.6053458764749093,-0.1321467007877685,0.45589913323954023,0.18915601601027443,0.17998308238534588,-1.6112719985589987,ココリエルサ,5
5,0.21298152591723135,0.5353318984975638,0.6811335303508749,0.3915943823105057,0.6318306658376727,1.6702430045360133,0.5282859011668848,エイシンプロトン,6
6,1.3626901516707841,0.0493438878414439,0.3029841235157115,0.00864826685266185,0.4867437323862608,-0.30597124005508913,-0.8980860319837042,トーセンフローラ,7
7,0.5929802586108479,-0.019501384573112263,1.452165437793996,1.1066352540539748,1.0368524008344637,-0.4679560142019008,-0.6603573764586059,ツインフルムーン,8
8,-0.06992633560861626,-0.08820262922111693,0.24042706363629812,,-0.16192559490894495,1.249082591754303,-0.18490006540840967,ルマンメモリ,9
0,1.0708688129457187,0.9095581758117753,0.727361800586012,1.9310052296691067,1.3179437682760948,1.7368051016577908,-1.2230532340215279,ニコール,1
1,-0.9849238822595648,-1.546198758412717,-1.3058934286735546,-0.5429579072200644,-1.1787545603918792,0.3561272290465497,-0.3597215394180964,バルドル,2
2,0.7115155561794199,1.0678046398829837,0.8189850645401684,0.08147990377359271,0.7311839645441124,-0.5971979687088311,0.9352760024870506,ハイヒールモモタン,3
3,-0.8494468687111818,-0.6230184806565929,-0.6234940141228204,-0.7725225554129828,-0.8287562417120189,-1.1560437742895715,0.07194430788361926,オメガレイノワール,4
4,0.9353883938510218,0.438863421657479,1.0950538522232087,-0.6035294761877037,0.5498179568189722,-0.39995827262151096,1.3669418497887662,ペイシャキャサリン,5
5,-0.8834020120054286,-0.24700899828293685,-0.7120132745530535,-0.09347519462192569,-0.5914348875352974,0.06026768491556943,-0.7913873867198121,フレアリングデット,6
0,0.27560633588200695,-0.3740412475373593,-0.7717976651411923,-0.5648598258162473,-0.5640520309405772,0.9986534667804582,1.036038253181082,コスモアルバトロス,1
1,-0.9622271766928433,0.41574902479999243,-0.8571215306594154,-0.45609273610229484,-0.7600796859237421,-0.4442170939190664,0.16188097705954405,ヨンハブラック,2
2,0.10829620957832603,-0.8921660715884557,-1.6169102378931501,1.429362153862403,-0.540171661611334,-0.20373866713581232,-0.4208905403548145,ヨコシャルマン,3
3,1.5604078275141688,1.6107640129929741,0.45865594626821615,-0.08916729259368356,1.5177705963842691,-1.105532767573015,-2.16920509259789,マイティスピリット,4
4,0.6969964678223807,0.8611983692221453,1.6029872791061985,-1.319742811615792,0.903619849242318,0.36739759647441617,-0.4208905403548145,メイショウブルゴー,5
5,0.19186284243085702,0.6824388709182458,0.7958539011086249,0.6445688015024512,0.9324882150106658,-0.5043367006148799,0.16188097705954405,タカミツリリー,6
6,-2.004144593752249,-1.3913188159553667,0.15904908024678277,-0.83268388009846,-1.663118285678046,-0.3540376838753461,0.16188097705954405,アオイシャーク,7
7,0.024905877638998115,0.15078346647991972,0.6579524791081067,-0.37133443542218775,0.23104043103845737,2.0808063873051017,0.16188097705954405,ドリームライザー,8
8,0.10829620957832603,-1.0634076093321632,-0.4286692521441523,1.559950026283823,-0.05749742752209247,-0.8349945374418544,1.3274240118882612,チョウクルクル,9
0,-0.6596606087774358,-0.9171032340374884,0.35551369990225956,0.4359759712383223,0.34819366482176456,0.09775605662283345,-0.8720092950405848,ヨウウッドテール,1
1,1.9663781460460232,1.0002919517680389,0.6010640744615164,-1.2574835796885178,-0.17731373988374796,0.45767608327962744,0.8628302498296313,ベルメモワール,2
2,1.4065680433996466,0.9198892723420498,0.4647315137153059,0.6493615001840921,0.900454161247709,0.017773828476879222,1.9367785395111934,ユウユウリアン,3
