,velocity1,velocity2,velocity3,velocity4,avg_velocity,weight,dhweight,horsename,horsenum,result,time_result,multipul_wins
0,-0.7503951732694281,0.16039380661675406,0.28629699061051517,-1.8765704989996819,-1.3414368625943944,0.06205596537942085,-0.15484193222775275,エイシンアトラス,1,0,1:35:4,0
1,0.8069210724205204,0.9116106295920094,1.1448776432806285,0.9612496941998421,1.8206229537004455,-0.7198491984012729,-0.42581531362632,フーゴ,2,1,1:34:8,130
2,-0.04641321181895598,0.3568197623248527,-1.3871149821096003,-0.1368961518388055,-0.4155507911189522,-1.675511065244343,-1.5097088392205893,アンジーゴールド,3,0,1:35:6,0
3,-1.7770899707984749,-0.8802458310708485,0.9288326203533122,0.5904676915862181,-0.6980025582747892,1.1480353595192734,-0.15484193222775275,シューニャ,4,1,1:34:9,0
4,0.34450670771260444,1.4749367409709775,-0.24282293363168508,-0.6703474005467268,0.3926155725027341,0.14893431691060904,1.7419717375622183,エスシーイーグル,5,0,1:35:5,0
5,0.21364792108974548,-1.1075221980441308,0.49954835401720415,0.34593192162215036,-0.02510402937194919,-0.11170073768295555,-0.15484193222775275,デルマクラノスケ,6,0,1:35:0,0
6,1.2088226546639664,-0.9159929103896399,-1.229617692520502,0.7861647439769969,0.26685571515685774,1.1480353595192734,0.6580782119679492,マンテンスマイル,7,1,1:34:6,130
0,-0.7234007975571776,-0.45523807855898546,-0.03828808813020156,-0.48579531644208807,-0.5777900124301429,0.7187154936630104,1.9308595020622863,ハルホンバン,1,0,1:39:8,0
1,1.5721818931071585,0.2949086531302653,0.2042929634217128,0.3344519764534692,1.31740955628313,1.169477824183365,0.46747124786771144,マデレーヌ,2,0,1:38:7,0
2,0.7960002585543317,0.7486783938944227,0.7762053489223641,0.9585255746859198,0.9519773216873725,0.02754658686513335,-0.2642228792295761,ジンベエハーバー,3,0,1:39:0,0
3,-0.40144715447356116,-2.2249229133176565,-1.9262756893543473,-0.6887752937449324,-1.720454335859504,-0.3631140995858406,0.22357320550194892,スマイルティアラ,4,0,1:39:8,0
4,-2.0962556867939393,-0.3058179884499262,0.3668507281262749,-2.1852451764100893,-1.3406934357028322,-0.8439272521408855,-1.4837130910583887,ハナミドリ,5,0,1:39:7,0
5,-0.29369346479177555,0.5971128114328311,0.2042929634217128,0.4379302989529854,0.18185906773316568,-1.2946895826612401,0.46747124786771144,カチャトーラ,6,0,1:39:3,0
6,-0.29369346479177555,-0.3058179884499262,0.28548779315521894,0.8539771626109013,0.1526800121193645,-1.9858584894591171,0.22357320550194892,ユキノ,7,0,1:39:1,0
