,velocity1,velocity2,velocity3,velocity4,avg_velocity,weight,dhweight,horsename,horsenum,result,time_result,multipul_wins
0,0.8789916799520512,1.579021783586039,-0.23034181842428994,0.49587965838928444,0.8824107591766062,-0.009133361725728581,0.9922778767136676,イサチルリョウマ,1,1,1:33:7,100
1,-1.1436131947411525,-1.3222184285558611,-1.9149072601201418,-1.144776514065923,-1.561106521213072,-1.6074716637283213,-1.4884168150705013,ジャスミン,2,0,1:37:3,0
2,-0.2429729621393563,-0.8949806435391597,-0.3683561107963605,-1.4893143102815156,-0.8921014993460911,1.497871323019573,-1.7985036515435224,タケマルドン,3,0,1:36:2,0
3,-0.45856807489831064,0.7608455644322147,1.4154786181125463,0.49587965838928444,0.5563073973746899,0.7215355763325995,0.3721042037676253,ノエルキャロル,4,0,1:36:0,0
4,0.2960666336761861,0.03377523967123523,0.9666184990570397,1.6904712150292616,0.8312680248851451,-0.3744678307548926,0.9922778767136676,ローラティオ,5,0,1:36:5,0
5,-0.08441149425954012,-0.06574911400463866,0.397967149924869,0.7624202019809599,0.27001533188979226,0.858536002218536,-0.558156305651438,ヴァルト,6,0,1:35:5,0
6,0.7808006413851261,0.8971086600984474,0.3275634143000513,-0.08060222269252497,0.5860165861138624,0.5388683418180175,0.3721042037676253,スカーレットロマン,7,1,1:35:1,210
7,-1.8079620873984072,-1.5095675097336203,-1.2515334026250224,-1.1943009650920509,-1.7031555389506274,-0.6484686825267656,0.6821910402406465,アース,8,0,1:38:2,0
8,0.15263639202673146,-0.016039707237578308,0.6100771278923874,0.23217163917159137,0.25050335633239484,0.40186791593208093,0.6821910402406465,ローズメジャー,9,0,1:35:3,0
9,1.6290324663966775,0.5378041552829275,0.047433782678968944,0.23217163917159137,0.7798421037373494,-1.3791376205850936,-0.2480694691784169,ピュアスピリット,10,1,1:34:3,110
0,-1.4947838213459095,-0.07539291763833306,1.3732650806796192,-0.03751255790977765,0.05505441757771676,0.5477225575051662,-1.181873680570558,ファーマオリーブ,1,0,1:35:0,0
1,-1.4287714745982791,0.27581426711689744,0.6839947461300675,-0.6414984057335924,-0.3636725658239365,-0.6085806194501846,-0.9401267913629437,イナーセレニティ,2,1,1:34:7,130
2,0.8138668876669747,1.4893480097494682,-0.4690455251303456,2.467820738863397,1.901459536693562,0.5477225575051662,0.2686076546751268,ラッシュラッシュ,3,0,1:35:1,0
3,0.4167748051296692,1.4183903763834975,0.5604153103586151,0.11672417147011996,0.8561920809899005,-0.48686449556014766,-0.21488612374010144,マーヴェラスデー,4,0,1:34:8,0
4,0.165324609971565,-1.325632021746171,-1.4049190119384873,-1.0813304235471972,-1.4892551719167606,-0.9737289911202953,0.5103545438827409,スーパーピロボール,5,0,1:37:1,0
5,-0.3328364049385016,-0.8776783753635451,-1.57359849959475,-0.15232775901366705,-1.0052828938123954,1.8865999202955723,-1.181873680570558,トミケンプレミオ,6,0,1:35:4,0
6,0.7545330998289368,0.39388929271129836,0.3760342651964172,-0.07586598154427043,0.40802710402313314,0.3042903097250923,0.993848322297969,ハマオリ,7,0,1:35:5,0
