,velocity1,velocity2,velocity3,velocity4,avg_velocity,weight,dhweight,horsename,horsenum,result,time_result
5,1.7977811342573302,0.5054332477485959,0.7679378784379367,0.12365064275218927,0.6862962102750519,0.8681991097049773,0.6362646570057517,ノースピーディング,6,1,1:23:5
6,-0.7083323930705446,1.3108220670962365,0.846964446527801,2.7138933294743977,2.225778561979545,1.2262193611297099,-0.5205801739137969,ノーボーダー,7,0,1:24:2
7,-1.761533495544302,-1.60956798606236,-0.013050403858832892,-0.39269177159466134,-0.9070215760749509,0.689188983992611,2.226926299520131,アマゴワクチン,8,0,1:25:2
8,0.3602136838379867,-0.35623392158179357,0.29733593598644653,0.0468377824000261,0.0952044928192426,-0.6235519378980753,-0.8097913816436839,スタンシア,9,1,1:23:4
9,0.4803766646753306,0.6110545030302702,0.271368793090463,-0.21764283625067235,0.12144362561229573,-1.5782726083640288,-1.099002589373571,シンボリトレイル,10,0,1:23:8
0,0.20096083411998245,0.25970263271635663,0.42272709565406835,1.4846200302675927,0.7435415094526344,-1.6606531727699378,-0.9125093245149511,グッドアビリティ,1,1,1:34:3
1,0.70599819131711,1.5335053602606545,0.781905801501823,0.6754468009869542,1.3375181450205669,0.23123018861353525,0.3461242265401539,ジューンリーザ,2,1,1:34:3
2,-0.19922114796384086,0.25970263271635663,-0.39760054185417465,-1.5704217537511487,-0.3955467459495413,0.29128997786380423,0.3461242265401539,フミタツアーロン,3,0,1:36:6
3,-1.2824543322079895,-0.6460431254414903,0.30402855337819146,0.2185370519605691,-1.261636841095722,1.192186816617839,-0.9125093245149511,ルマンメモリ,4,0,1:35:4
4,0.8076538390438432,0.8565243912168059,-0.04903001053403781,-1.0179141970669099,0.36105480313507393,1.4624558682440494,0.9754410020677065,クゲ,5,1,1:34:3
5,-0.5960296254568653,-0.8999088093541937,1.2681302504660474,0.2185370519605691,0.17182438172735712,-0.639636755515365,-0.5978509367511748,マルデリジェント,6,0,1:34:8
6,1.0116188685663037,0.990740661767981,-0.4552652964182405,0.6754468009869542,0.6706298999089506,-0.7297264393907685,1.2900993898314825,アチェンティ,7,0,1:35:1
7,-1.5735687579670363,-1.8331027020114552,-2.238209928835292,-0.23445492858539702,-2.0421289990843996,-0.579576966265096,1.2900993898314825,バイタルワンダー,8,0,1:36:9
8,-0.4971414368411164,-0.45422599565532557,0.30402855337819146,0.6754468009869542,0.05891189754394371,0.9819775542418976,-1.5418261000425038,ロージア,9,0,1:35:3
9,1.4221835673897558,-0.06689504621559655,0.36331407664165377,-0.9067066057854194,0.3558319493411361,-0.5495470716399615,-0.2831925489873986,メルズーガ,10,0,1:34:7
0,-0.7874030626312187,-0.7685826286181665,0.30676451195539184,,,-0.0803438161625047,-0.1721325931647741,トミケンフリンク,1,0,1:35:1
1,0.34491054772703733,-0.6557203215034616,0.4313743088994108,,,-0.45435813278106035,1.893458524812515,キクノグロウ,2,1,1:33:3
2,1.7414775344540896,1.37580120656103,-2.469345149664117,,,-0.6787667227521937,-0.43033148291193524,オルトシア,3,1,1:33:9
3,-0.22610076382018762,-0.3711321764082205,0.2716237060597212,,,-0.22994954280992697,-0.6885303726590963,ヨンハブラック,5,0,1:36:0
4,0.925884979214012,-0.4661991168759983,0.4689734880719682,,,1.0167648459185918,0.08606629658238704,トウケイヘイゾウ,6,0,1:35:0
5,0.12962759230938134,0.5369313235358101,0.3005907057731897,,,0.3186047882306213,-0.9467292624062575,ジーニアスマアナ,7,1,1:34:4
6,-0.9262405612501752,-1.1259799344813521,0.34243890926379617,,,1.8645306302539846,-0.9467292624062575,ドリームライザー,8,0,1:34:8
7,-1.2021562660029466,1.4748816477904212,0.34757951964063954,,,-1.626269658185868,1.3770607453181927,コスモデルフィヌス,9,0,1:36:3
8,-0.04823658575540314,-0.41866564664210937,0.324601710609594,,,-0.13021239171164545,-0.1721325931647741,ストロングハピネス,10,0,1:35:7
0,0.3179648924104153,0.3343521694021237,0.34649049194991893,0.6391519060180374,0.5208479399333457,0.5247033541232802,-0.8705495142171519,メジャーアスリート,1,0,1:33:5
1,0.5116976935047813,0.41671412215218157,0.38942712930086176,0.6527487859482914,0.6031325569395275,0.895082192327948,-0.5371475726020725,リッパーザウィン,2,1,1:30:1
